True_Energy,mean,mean_error,True_T,sig,sig_error
60,9.151167915381226,0.14509565298958588,40,6.911489447570634,0.1026207362901302
60,8.99954648526077,0.14665645700352217,48,6.886609951182164,0.10372529839513592
60,9.372410753635963,0.1250117874972933,44,5.95481416780625,0.08841616832475546
60,8.39756782039289,0.1734731140563289,52,8.021138681026242,0.12269271199642148
60,12.53111305872042,0.15664246135272902,68,7.482854810451639,0.11078722345478131
60,10.64009831460674,0.16133359350804796,72,8.609834427370757,0.11410011138211516
60,9.235727440147329,0.1717029212882915,60,8.002166705626857,0.12144025907173146
60,11.068523430592396,0.15784188492250437,64,7.507037042560877,0.11163574624832506
60,10.672971989814478,0.20716073355097234,80,10.861625137393633,0.14651141004176926
60,12.103753541076488,0.20790268931122347,88,11.048223554096724,0.14703543693035714
60,13.257252708843062,0.20442426196963268,92,10.934309620680805,0.14457505061005804
60,11.193304535637148,0.2200755699780609,84,11.599464925600913,0.15564494427534167
60,16.34548736462094,0.2624418055710182,108,13.812519416547868,0.18560788663904668
60,17.22563559322034,0.2631497557170186,112,14.00391918074651,0.18610783765838723
60,16.153053977272727,0.2430941631949311,104,12.900034048688156,0.17192406026167067
60,15.31921596079804,0.22413227254197673,100,11.980074389353014,0.15851319342099257
60,19.87595818815331,0.2669257546781149,120,14.299848213358107,0.18877790220782448
60,20.829965156794426,0.28113760794138076,124,15.061211030296812,0.1988289512299019
60,22.667257264351523,0.30958423066669455,132,16.445888275379787,0.21894790532790812
60,21.53673897830651,0.2936669316984866,128,15.699512171969417,0.20769021688063974
