True_Energy,mean,mean_error,trap_energy,True_T,sig,sig_error
5,57.09887403237157,0.6437245888634844,4.561779822381274,92,34.31722288014878,0.4552621244260937
5,53.916578669482575,0.6186513445236475,4.579899207549117,88,32.97475504011947,0.43752957042036955
5,48.12557319223986,0.5748400458825452,4.614575293107453,80,30.60719616565604,0.4065450019236343
5,50.93439153439154,0.6015907706759149,4.597532332361856,84,32.03153096485588,0.4254639577974935
5,73.67640845070423,0.7842062047534876,4.4599385297129075,114,41.7916428879003,0.5546151773437888
5,62.981703026038,0.6996869312455942,4.524416160616793,100,37.30059839453252,0.49484043993788907
5,70.66195690568703,0.7539473197772203,4.479492817774219,110,40.11538238866593,0.5332154451883743
5,65.99472016895459,0.7199193641286366,4.505304586742949,104,38.3724449820103,0.50914947961043
5,81.06265399507215,0.8588545974600503,4.400588691286412,124,45.77783628375036,0.6074088198573236
5,89.39252995066948,0.9179636174920889,4.35399702651469,134,48.902567848990735,0.6492126874452285
5,84.17599436818021,0.8818223417035431,4.380650399729655,128,47.002040751998045,0.6236523265777656
5,78.12847588877156,0.8290160570576689,4.420462245996961,120,44.18741129036279,0.586306071306317
9,49.350809289232934,0.870248094129669,8.464875881439326,88,46.393284214914395,0.6154666187456342
9,51.38188838188838,0.8715987190471715,8.432607202356882,92,46.52247465204603,0.6164215562977302
9,45.5750088245676,0.8820268851044061,8.526461345280696,80,46.94670435708025,0.6237972961914122
9,47.55441696113074,0.8739890441125284,8.496224496150864,84,46.49424570113283,0.6181127966315876
9,57.047050561797754,0.9036702902244129,8.341853038064619,104,48.22586174762266,0.6391036022027884
9,55.045614035087716,0.8945300118820169,8.368040656104059,100,47.75483467827396,0.6326392364540012
9,60.9731922398589,0.9134906265487778,8.305180815771928,110,48.63855084998603,0.6460493683200637
9,63.2469222652128,0.9266736197882209,8.276528643090167,114,49.41004275660185,0.6553724713592693
9,74.62003514938489,1.0167658293587714,8.111679693258019,134,54.23280629594404,0.7190884015004945
